;Titolo;Autore;Casa Editrice;Cassetta
204;Tanti uomini una sola libertà;Mintuoli Benedetto;Omnia;7
80;Tarzan;Burroughs;;
266;Termini frasali inglesi;Bacchielli Rolando;QuattroVenti;8
48;The labour impact of globalisation in the automotive industry;Caputo, Della Corte;;temp
67;The last cases of Sherlock Holmes;Doyle;;
210;The Scottish Political System;Kellas James G.;Cambridge press;7
228;Tifone;Conrad Joseph;Newton;7
256;Tra Fès e Meknès;Fovanna Enrico;Edizioni EL;8
117;Trabajar en team en la Fiat;Caputo;;
72;Traduzione del Nuovo Mondo delle  Sacre Scritture;Dio;;
196;Tre favole romane;Boitani Piero;Il Mulino;6
116;Tribù;Stella;;
69;Tu passerai per il camino;Pappalettera;;
229;Un cœur simple;Flaubert Gustave;Petrini Editore;7
151;Un glançon dans le vent;Lennon John;Le castor astral;3
97;Un modo semplice di pregare;Guyon;;
230;Un tenebroso affare;Balzac Honoré de;Newton;7
237;Un ultimo giro di milonga;Bagaglia Massimo;Edizioni Tracce;8
47;Università e militarizzazione;Lancione;;Giada
40;Ustica, un’ingiustizia civile;Tricarico Leonardo - Alegi Gregory;Rubettino;2
134;Vermeer;Zeri;Rizzoli;
273;Vita di Giulio Agricola;Tacito;Avia Pervia;9
3;Vita di un perdigiorno;Eichendorff Joseph von;BUR;Anna
172;Viva il latino;Giardini;;
200;Voci dell’eliade;Giordano Ugo;Morano Editore;6
37;Weimar e la crisi europea;Amirante Carlo - Silvio Gambino;Periferia;2
271;Zanna bianca;London Jack;Giunti;8
61;Zinnemann;Rausa;;
108;Zona Rossa;;Derive Approdi;
